# TA_all_positions_ITRF00.csv
# All Telescope Array positions in WGS84/ITRF00
# ENU coordinates relative to CLF ground origin (ITRF00)
#   Origin: lat=39.296917698, lon=-112.908732386, h=1370.017 m
#
# outlier=1: flagged for review
# sigma_h, sigma_horizontal: estimated uncertainties (m)
#
category,site,name,latitude,longitude,h_itrf00,sigma_h,east_clf,north_clf,up_clf,sigma_horizontal,frame,source,outlier,notes
Telescope Mirror,Middle Drum,MD_M02,39.472845,-112.994485,1589.138000,0.020000,-7380.577000,19540.335000,184.853000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M03,39.472887,-112.994457,1589.244000,0.020000,-7378.171000,19544.906000,184.947000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M04,39.472904,-112.994440,1589.145000,0.020000,-7376.722000,19546.874000,184.844000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M05,39.472938,-112.994399,1589.240000,0.020000,-7373.129000,19550.584000,184.932000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M06,39.472951,-112.994376,1589.139000,0.020000,-7371.186000,19552.056000,184.828000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M07,39.472973,-112.994323,1589.242000,0.020000,-7366.654000,19554.528000,184.929000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M08,39.472981,-112.994297,1589.137000,0.020000,-7364.372000,19555.381000,184.824000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M09,39.472991,-112.994238,1589.255000,0.020000,-7359.298000,19556.470000,184.944000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M10,39.472992,-112.994210,1589.143000,0.020000,-7356.868000,19556.627000,184.835000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M11,39.472989,-112.994150,1589.246000,0.020000,-7351.718000,19556.229000,184.945000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
Telescope Mirror,Middle Drum,MD_M12,39.472984,-112.994122,1589.144000,0.020000,-7349.350000,19555.685000,184.848000,0.020000,ITRF00,Total station + ITRF00 monuments,0,
