BR1 39 11 18.097440 +/- 0.0009 (m)  112 42 45.442980 +/- 0.0016 (m)  1395.1213 (m) +/- 0.0029 (m)
BR2 39 11 19.852872 +/- 0.0010 (m)  112 42 44.324676 +/- 0.0023 (m)  1394.6969 (m) +/- 0.0035 (m)
CLF1 39 17 48.448644 +/- 0.0015 (m)  112 54 31.819680 +/- 0.0030 (m)  1370.0528 (m) +/- 0.0049 (m)
CLF2 39 17 42.605952 +/- 0.0017 (m)  112 54 31.402188 +/- 0.0046 (m)  1370.0078 (m) +/- 0.0053 (m)
LR1 39 12 28.329264 +/- 0.0014 (m)  113 7 14.244816 +/- 0.0031 (m)  1537.9188 (m) +/- 0.0051 (m)
LR2 39 12 30.120228 +/- 0.0009 (m)  113 7 15.127032 +/- 0.0017 (m)  1538.3831 (m) +/- 0.0029 (m)
MD1 39 28 22.042776 +/- 0.0012 (m)  112 59 39.157188 +/- 0.0021 (m)  1587.2469 (m) +/- 0.0041 (m)
MD2 39 28 20.460972 +/- 0.0007 (m)  112 59 30.447924 +/- 0.0013 (m)  1582.4757 (m) +/- 0.0024 (m)
