name1,name2,ref,S,H,V
BR_BR2,MD_M07,OPUS,39837.685,39837.212,194.128
BR_BR2,MD_M08,OPUS,39836.966,39836.494,194.024
BR_BR2,MD_M09,OPUS,39834.732,39834.259,194.143
BR_BR2,MD_MD2,OPUS,39649.891,39649.447,187.794
BR_M00,BR_M01,OPUS,3.990,0.381,3.971
BR_M00,BR_M02,OPUS,4.427,4.427,0.008
BR_M00,BR_M04,OPUS,7.963,7.963,0.011
BR_M00,BR_M04,OPUS,7.967,7.967,0.014
BR_M00,BR_M05,OPUS,8.912,7.975,3.978
BR_M00,BR_BR2,OPUS,72.854,72.833,1.756
BR_M00,BR_ELS,OPUS,101.668,101.660,1.244
BR_M00,BR_BR2,OPUS,72.854,72.833,1.755
BR_M00,BR_M00,OPUS,0.007,0.006,0.004
BR_M00,BR_M00,OPUS,0.117,0.007,0.117
BR_M00,BR_M00,OPUS,0.114,0.005,0.114
BR_M00,BR_M02,OPUS,4.429,4.429,0.003
BR_M00,BR_M02,OPUS,4.429,4.429,0.005
BR_M00,BR_M02,OPUS,4.429,4.429,0.005
BR_M00,BR_M03,OPUS,6.009,4.520,3.960
BR_M00,BR_BR2,OPUS,72.855,72.834,1.759
BR_M00,BR_M00,OPUS,0.001,0.001,0.001
BR_M00,BR_M00,OPUS,0.030,0.030,0.005
BR_M00,BR_M01,OPUS,3.988,0.380,3.970
BR_M00,BR_M02,OPUS,4.427,4.427,0.007
BR_M00,BR_M03,OPUS,5.997,4.509,3.954
BR_M00,BR_M04,OPUS,7.971,7.971,0.012
BR_M00,BR_M04,OPUS,7.962,7.962,0.013
BR_M00,BR_M04,OPUS,7.975,7.975,0.016
BR_M00,BR_M05,OPUS,8.914,7.978,3.977
BR_M00,BR_M05,OPUS,8.914,7.977,3.978
BR_M00,BR2_BR1,OPUS,67.963,67.949,1.374
BR_M00,BR2_ELS,OPUS,63.486,63.476,1.121
BR_M00,BR2_BR1,OPUS,67.964,67.950,1.377
BR_M00,BR2_M10,OPUS,11.421,11.421,0.021
BR_M00,BR2_M10,OPUS,11.397,11.397,0.022
BR_M00,BR2_M10,OPUS,11.440,11.440,0.021
BR_M00,BR2_M10,OPUS,11.419,11.419,0.024
BR_M00,BR2_M11,OPUS,11.865,11.177,3.984
BR_M00,BR2_M06,OPUS,3.723,3.723,0.013
BR_M00,BR2_M06,OPUS,3.687,3.687,0.021
BR_M00,BR2_M07,OPUS,5.363,3.523,4.043
BR_M00,BR2_M07,OPUS,5.308,3.519,3.974
BR_M00,BR2_M07,OPUS,5.321,3.529,3.983
BR_M00,BR2_M08,OPUS,15.208,15.208,0.014
BR_M00,BR2_M09,OPUS,15.616,15.101,3.979
BR_M00,BR2_M09,OPUS,15.620,15.103,3.985
BR_M00,BR2_BR1,OPUS,67.964,67.950,1.382
BR_M00,BR2_M10,OPUS,11.413,11.413,0.017
BR_M00,BR2_M11,OPUS,11.855,11.168,3.980
BR_M00,BR2_M06,OPUS,3.695,3.695,0.007
BR_M00,BR2_M07,OPUS,5.306,3.514,3.976
BR_M00,BR2_M08,OPUS,15.204,15.204,0.007
BR_M00,CLF_CLF2,OPUS,10278819.572,6074116.800,8292118.963
BR_M00,CLF_CLF,OPUS,10278931.060,6074059.888,8292298.850
BR_M00,CLF_CLF,OPUS,10278931.062,6074059.887,8292298.853
