1,0,APPS,+,39,11,17.89730,-,112,42,42.62393,1396.704
1,0,AusPos,+,39,11,17.89788,-,112,42,42.62298,1396.662
1,0,CSRS,+,39,11,17.89688,-,112,42,42.62378,1396.652
1,0,OPUS,+,39,11,17.89672,-,112,42,42.62307,1396.632
1,10,APPS,+,39,11,18.22889,-,112,42,42.41311,1396.683
1,10,AusPos,+,39,11,18.22960,-,112,42,42.41198,1396.669
1,10,CSRS,+,39,11,18.22882,-,112,42,42.41245,1396.664
1,10,OPUS,+,39,11,18.22861,-,112,42,42.41195,1396.644
1,11,APPS,+,39,11,18.21797,-,112,42,42.40797,1400.645
1,11,AusPos,+,39,11,18.21869,-,112,42,42.40685,1400.631
1,11,CSRS,+,39,11,18.21790,-,112,42,42.40733,1400.626
1,11,OPUS,+,39,11,18.21769,-,112,42,42.40681,1400.606
1,1,APPS,+,39,11,17.90117,-,112,42,42.60888,1400.673
1,1,AusPos,+,39,11,17.90175,-,112,42,42.60793,1400.631
1,1,CSRS,+,39,11,17.90074,-,112,42,42.60873,1400.621
1,1,OPUS,+,39,11,17.90059,-,112,42,42.60802,1400.601
1,2,APPS,+,39,11,17.75583,-,112,42,42.59271,1396.706
1,2,AusPos,+,39,11,17.75640,-,112,42,42.59180,1396.664
1,2,CSRS,+,39,11,17.75539,-,112,42,42.59267,1396.654
1,2,OPUS,+,39,11,17.75524,-,112,42,42.59190,1396.634
1,3,APPS,+,39,11,17.75582,-,112,42,42.57750,1400.670
1,3,AusPos,+,39,11,17.75639,-,112,42,42.57658,1400.628
1,3,CSRS,+,39,11,17.75537,-,112,42,42.57745,1400.618
1,3,OPUS,+,39,11,17.75523,-,112,42,42.57668,1400.598
1,4,APPS,+,39,11,18.14281,-,112,42,42.52018,1396.707
1,4,AusPos,+,39,11,18.14337,-,112,42,42.51918,1396.665
1,4,CSRS,+,39,11,18.14234,-,112,42,42.51987,1396.655
1,4,OPUS,+,39,11,18.14221,-,112,42,42.51926,1396.635
1,5,APPS,+,39,11,18.13929,-,112,42,42.50583,1400.672
1,5,AusPos,+,39,11,18.13985,-,112,42,42.50483,1400.630
1,5,CSRS,+,39,11,18.13881,-,112,42,42.50552,1400.620
1,5,OPUS,+,39,11,18.13868,-,112,42,42.50491,1400.600
1,6,APPS,+,39,11,18.01572,-,112,42,42.60112,1396.677
1,6,AusPos,+,39,11,18.01646,-,112,42,42.60004,1396.663
1,6,CSRS,+,39,11,18.01573,-,112,42,42.60061,1396.658
1,6,OPUS,+,39,11,18.01547,-,112,42,42.60002,1396.638
1,7,APPS,+,39,11,18.00820,-,112,42,42.58962,1400.658
1,7,AusPos,+,39,11,18.00890,-,112,42,42.58852,1400.628
1,7,CSRS,+,39,11,18.00817,-,112,42,42.58910,1400.623
1,7,OPUS,+,39,11,18.00791,-,112,42,42.58850,1400.603
1,8,APPS,+,39,11,18.29482,-,112,42,42.24970,1396.680
1,8,AusPos,+,39,11,18.29552,-,112,42,42.24856,1396.666
1,8,CSRS,+,39,11,18.29468,-,112,42,42.24900,1396.661
1,8,OPUS,+,39,11,18.29451,-,112,42,42.24852,1396.641
1,9,APPS,+,39,11,18.28571,-,112,42,42.24131,1400.653
1,9,AusPos,+,39,11,18.28640,-,112,42,42.24018,1400.639
1,9,CSRS,+,39,11,18.28557,-,112,42,42.24062,1400.634
1,9,OPUS,+,39,11,18.28540,-,112,42,42.24014,1400.614
2,0,APPS,+,39,12,28.72897,-,113,07,17.21135,1544.708
2,0,AusPos,+,39,12,28.72954,-,113,07,17.21190,1544.673
2,0,CSRS,+,39,12,28.72974,-,113,07,17.21137,1544.667
2,0,OPUS,+,39,12,28.72883,-,113,07,17.21173,1544.665
2,10,AusPos,+,39,12,28.38139,-,113,07,17.05425,1544.704
2,10,OPUS,+,39,12,28.38053,-,113,07,17.05402,1544.679
2,11,APPS,+,39,12,28.38631,-,113,07,17.06595,1548.697
2,11,AusPos,+,39,12,28.38613,-,113,07,17.06629,1548.651
2,11,CSRS,+,39,12,28.38603,-,113,07,17.06561,1548.659
2,11,OPUS,+,39,12,28.38527,-,113,07,17.06606,1548.626
2,1,APPS,+,39,12,28.71885,-,113,07,17.21615,1548.660
2,1,AusPos,+,39,12,28.71943,-,113,07,17.21671,1548.625
2,1,CSRS,+,39,12,28.71963,-,113,07,17.21618,1548.619
2,1,OPUS,+,39,12,28.71872,-,113,07,17.21654,1548.617
2,2,APPS,+,39,12,28.81031,-,113,07,17.36322,1544.708
2,2,AusPos,+,39,12,28.81092,-,113,07,17.36374,1544.673
2,2,CSRS,+,39,12,28.81111,-,113,07,17.36321,1544.667
2,2,OPUS,+,39,12,28.81022,-,113,07,17.36356,1544.665
2,3,APPS,+,39,12,28.80245,-,113,07,17.37298,1548.661
2,3,AusPos,+,39,12,28.80306,-,113,07,17.37350,1548.626
2,3,OPUS,+,39,12,28.80236,-,113,07,17.37332,1548.618
2,4,APPS,+,39,12,28.49915,-,113,07,17.05724,1544.713
2,4,AusPos,+,39,12,28.49968,-,113,07,17.05788,1544.678
2,4,CSRS,+,39,12,28.49988,-,113,07,17.05735,1544.672
2,4,OPUS,+,39,12,28.49897,-,113,07,17.05772,1544.670
2,5,APPS,+,39,12,28.49412,-,113,07,17.06972,1548.667
2,5,AusPos,+,39,12,28.49466,-,113,07,17.07036,1548.632
2,5,CSRS,+,39,12,28.49485,-,113,07,17.06984,1548.626
2,5,OPUS,+,39,12,28.49395,-,113,07,17.07021,1548.624
2,6,OPUS,+,39,12,28.63349,-,113,07,17.11929,1544.681
2,7,APPS,+,39,12,28.63234,-,113,07,17.13337,1548.700
2,7,AusPos,+,39,12,28.63217,-,113,07,17.13360,1548.654
2,7,CSRS,+,39,12,28.63207,-,113,07,17.13293,1548.662
2,7,OPUS,+,39,12,28.63132,-,113,07,17.13337,1548.629
2,8,APPS,+,39,12,28.24450,-,113,07,17.10640,1544.753
2,8,AusPos,+,39,12,28.24432,-,113,07,17.10680,1544.707
2,8,CSRS,+,39,12,28.24422,-,113,07,17.10612,1544.715
2,8,OPUS,+,39,12,28.24347,-,113,07,17.10658,1544.682
2,9,APPS,+,39,12,28.24622,-,113,07,17.12095,1548.711
2,9,AusPos,+,39,12,28.24606,-,113,07,17.12135,1548.665
2,9,CSRS,+,39,12,28.24595,-,113,07,17.12067,1548.673
2,9,OPUS,+,39,12,28.24520,-,113,07,17.12113,1548.640
name1,name2,ref,latitude,longitude,alt,dS,dH,dV
