name,ref,latitude,longitude,alt
LR1_M06,OPUS,39.207953747,-113.121422025,1544.681,-18374.874,-9857.626,140.572
LR1_M07,OPUS,39.207953145,-113.121425935,1548.629,-18375.223,-9857.698,144.519
LR1_M08,OPUS,39.207845409,-113.121418495,1544.682,-18374.597,-9869.657,140.556
LR1_M09,OPUS,39.207845890,-113.121422537,1548.640,-18374.958,-9869.609,144.513
LR2_LR1,OPUS,39.207868953,-113.120623710,1537.853,-18305.908,-9867.193,133.928
LR2_M00,OPUS,39.207980231,-113.121447703,1544.665,-18377.085,-9854.680,140.554
LR2_M01,OPUS,39.207977413,-113.121449039,1548.619,-18377.213,-9854.998,144.507
LR2_M01,OPUS,39.207977517,-113.121449020,1548.620,-18377.211,-9854.987,144.509
LR2_M01,OPUS,39.207977338,-113.121449054,1548.612,-18377.214,-9855.007,144.501
LR2_M02,OPUS,39.208002838,-113.121489878,1544.665,-18380.723,-9852.161,140.548
LR2_M03,OPUS,39.208000656,-113.121492590,1548.618,-18380.969,-9852.408,144.500
LR2_M04,OPUS,39.207916382,-113.121404923,1544.670,-18373.406,-9861.778,140.559
LR2_M05,OPUS,39.207914974,-113.121408360,1548.624,-18373.715,-9861.940,144.511
LR2_M05,OPUS,39.207914965,-113.121408486,1548.621,-18373.726,-9861.941,144.509
LR2_M05,OPUS,39.207915015,-113.121408326,1548.627,-18373.712,-9861.936,144.515
MD1_MD2,OPUS,39.472350417,-112.991791867,1582.448,-7148.816,19485.107,178.567
MD1_CXF,OPUS,39.472757098,-112.994203905,1589.248,-7356.382,19530.484,184.991
MD1_M01,OPUS,39.472824613,-112.994493964,1589.240,-7381.340,19538.005,184.932
MD1_M10,OPUS,39.472991987,-112.994209713,1589.145,-7356.857,19556.569,184.808
MD1_M11,OPUS,39.472988464,-112.994149952,1589.247,-7351.714,19556.173,184.917
MD1_M12,OPUS,39.472983602,-112.994122475,1589.146,-7349.350,19555.631,184.820
MD1_M13,OPUS,39.472966528,-112.994066616,1589.249,-7344.544,19553.730,184.935
MD1_M14,OPUS,39.472955808,-112.994041923,1589.151,-7342.420,19552.538,184.843
MD1_M02,OPUS,39.472845289,-112.994484649,1589.138,-7380.536,19540.300,184.824
MD1_M03,OPUS,39.472886405,-112.994456781,1589.245,-7378.133,19544.864,184.920
MD1_M04,OPUS,39.472904125,-112.994439981,1589.145,-7376.685,19546.831,184.815
MD1_M05,OPUS,39.472937522,-112.994398334,1589.240,-7373.098,19550.536,184.903
MD1_M06,OPUS,39.472950782,-112.994375800,1589.140,-7371.157,19552.007,184.800
MD1_M07,OPUS,39.472973039,-112.994323245,1589.242,-7366.631,19554.474,184.900
MD1_M08,OPUS,39.472980733,-112.994296771,1589.138,-7364.352,19555.326,184.796
MD1_M09,OPUS,39.472990581,-112.994237906,1589.256,-7359.284,19556.416,184.917
MD1_MD2,OPUS,39.472350518,-112.991792160,1582.446,-7148.842,19485.119,178.564
MD1_CXF,OPUS,39.472757111,-112.994203903,1589.244,-7356.382,19530.485,184.988
MD1_M01,OPUS,39.472824677,-112.994494240,1589.238,-7381.364,19538.012,184.929
MD1_M10,OPUS,39.472992016,-112.994209729,1589.141,-7356.859,19556.572,184.804
MD1_M11,OPUS,39.472988468,-112.994149964,1589.244,-7351.715,19556.174,184.914
MD1_M12,OPUS,39.472983605,-112.994122479,1589.142,-7349.350,19555.631,184.817
