BR1,OPUS,39,11,18.09732,0.003,112,42,45.44207,0.012,1395.049,0.016
BR1,CSRS,39,11,18.0982,0.002,112,42,45.4427,0.006,1395.069,0.011
BR1,AusPos,39,11,18.09838,0.002,112,42,45.44199,0.002,1395.079,0.003
BR1,APPS,39,11,18.09744,0.001,112,42,45.44298,0.002,1395.121,0.003
BR2,OPUS,39,11,19.8529,0.007,112,42,44.32308,0.021,1394.658,0.009
BR2,CSRS,39,11,19.8536,0.003,112,42,44.3229,0.008,1394.678,0.015
BR2,AusPos,39,11,19.85383,0.002,112,42,44.32321,0.002,1394.683,0.003
BR2,APPS,39,11,19.85287,0.001,112,42,44.32468,0.002,1394.697,0.003
LR1,OPUS,39,12,28.32743,0.002,113,7,14.24496,0.009,1537.848,0.01
LR1,CSRS,39,12,28.3283,0.004,113,7,14.2445,0.009,1537.881,0.017
LR1,AusPos,39,12,28.32837,0.002,113,7,14.24518,0.002,1537.873,0.003
LR1,APPS,39,12,28.32926,0.001,113,7,14.24482,0.003,1537.919,0.005
LR2,OPUS,39,12,30.11951,0.011,113,7,15.12676,0.009,1538.34,0.013
LR2,CSRS,39,12,30.1205,0.003,113,7,15.1265,0.006,1538.342,0.012
LR2,AusPos,39,12,30.12028,0.001,113,7,15.127,0.002,1538.348,0.003
LR2,APPS,39,12,30.12023,0.001,113,7,15.12703,0.002,1538.383,0.003
MD1,OPUS,39,28,22.04039,0.024,112,59,39.15799,0.008,1587.222,0.004
MD1,CSRS,39,28,22.0413,0.003,112,59,39.1582,0.008,1587.237,0.015
MD1,AusPos,39,28,22.04114,0.001,112,59,39.15797,0.002,1587.225,0.003
MD1,APPS,39,28,22.04278,0.001,112,59,39.15719,0.002,1587.247,0.004
MD2,OPUS,39,28,20.46141,0.013,112,59,30.45021,0.008,1582.449,0.02
MD2,CSRS,39,28,20.4622,0.002,112,59,30.4503,0.005,1582.472,0.01
MD2,AusPos,39,28,20.46215,0.001,112,59,30.45,0.001,1582.475,0.003
MD2,APPS,39,28,20.46097,0.001,112,59,30.44792,0.001,1582.476,0.002
CLF1,CSRS,39,17,48.4476,0.006,112,54,31.8198,0.011,1370.035,0.02
CLF1,AusPos,39,17,48.44754,0.002,112,54,31.82007,0.002,1370.051,0.004
CLF1,APPS,39,17,48.44864,0.001,112,54,31.81968,0.003,1370.053,0.005
CLF2,OPUS,39,17,42.60611,0.011,112,54,31.40207,0.019,1369.977,0.021
CLF2,CSRS,39,17,42.6068,0.007,112,54,31.4025,0.019,1370.022,0.026
CLF2,AusPos,39,17,42.60695,0.002,112,54,31.40262,0.002,1370.008,0.003
CLF2,APPS,39,17,42.60595,0.002,112,54,31.40219,0.005,1370.008,0.005
BR1,ITRF00,39,11,18.09731,0.01,112,42,45.44194,0.01,1395.053,0.004
BR2,ITRF00,39,11,19.85288,0.01,112,42,44.32309,0.01,1394.659,0.009
CLF2,ITRF00,39,17,42.60609,0.01,112,54,31.40213,0.01,1369.979,0.016
LR1,ITRF00,39,12,28.32743,0.01,113,7,14.24494,0.01,1537.847,0.009
LR2,ITRF00,39,12,30.11953,0.01,113,7,15.12676,0.01,1538.34,0.01
MD1,ITRF00,39,28,22.04037,0.01,112,59,39.15793,0.01,1587.222,0.004
MD2,ITRF00,39,28,20.46140,0.01,112,59,30.45021,0.01,1582.449,0.02
